Visual Kinship Recognition of Families in the Wild;Large Margin Multi-metric Learning for Face and Kinship Verification in the Wild
Visual Kinship Recognition of Families in the Wild;Learning a Genetic Measure for Kinship Verification Using Facial Images
Visual Kinship Recognition of Families in the Wild;Inheritable Fisher vector feature for kinship verification
Visual Kinship Recognition of Families in the Wild;Tri-Subject Kinship Verification: Understanding the Core of A Family
Visual Kinship Recognition of Families in the Wild;Automatic Verification of Parent-Child Pairs from Face Images
Visual Kinship Recognition of Families in the Wild;Detecting siblings in image pairs
Visual Kinship Recognition of Families in the Wild;Leveraging appearance and geometry for kinship verification
Learning deep compact similarity metric for kinship verification from face images;Cross-cultural perceptions of facial resemblance between kin
Learning Social Relation Traits from Face Images;Training Hierarchical Feed-Forward Visual Recognition Models Using Transfer Learning from Pseudo-Tasks
Learning Social Relation Traits from Face Images;SIGNATURE VERIFICATION USING A “SIAMESE” TIME DELAY NEURAL NETWORK
Learning Social Relation Traits from Face Images;Discovering informative social subgraphs and predicting pairwise relationships from group photos
A Domain Based Approach to Social Relation Recognition;Acquisition of the algorithms of social life: A domain-based approach.
A Domain Based Approach to Social Relation Recognition;The relationship context of human behavior and development.
Dual-Glance Model for Deciphering Social Relationships;Social LSTM: Human Trajectory Prediction in Crowded Spaces
Dual-Glance Model for Deciphering Social Relationships;From Ego to Nos-Vision: Detecting Social Relationships in First-Person Views
Dual-Glance Model for Deciphering Social Relationships;Discovering informative social subgraphs and predicting pairwise relationships from group photos
Dual-Glance Model for Deciphering Social Relationships;A Unified Framework for Multi-target Tracking and Collective Activity Recognition
Dual-Glance Model for Deciphering Social Relationships;A circumplex model for interpersonal personality traits.
Dual-Glance Model for Deciphering Social Relationships;Structure Inference Machines: Recurrent Neural Networks for Analyzing Relations in Group Activity Recognition
Dual-Glance Model for Deciphering Social Relationships;Like Father, Like Son: Facial Expression Dynamics for Kinship Verification
Dual-Glance Model for Deciphering Social Relationships;Learning Social Relations from Videos: Features, Models, and Analytics
Dual-Glance Model for Deciphering Social Relationships;Team Activity Recognition in Sports
Dual-Glance Model for Deciphering Social Relationships;From captions to visual concepts and back
Dual-Glance Model for Deciphering Social Relationships;Towards computational models of kinship verification
Deep Reasoning with Knowledge Graph for Social Relationship Understanding;Social LSTM: Human Trajectory Prediction in Crowded Spaces
SOCIAL RELATION RECOGNITION IN EGOCENTRIC PHOTOSTREAMS;Social Relationships and Health: A Flashpoint for Health Policy
SOCIAL RELATION RECOGNITION IN EGOCENTRIC PHOTOSTREAMS;Social Role Discovery in Human Events
SOCIAL RELATION RECOGNITION IN EGOCENTRIC PHOTOSTREAMS;Who Do I Look Like? Determining Parent-Offspring Resemblance via Gated Autoencoders
SOCIAL RELATION RECOGNITION IN EGOCENTRIC PHOTOSTREAMS;Urban tribes: Analyzing group photos from a social perspective
SOCIAL RELATION RECOGNITION IN EGOCENTRIC PHOTOSTREAMS;What Do You Do? Occupation Recognition in a Photo via Social Context
RoleNet: Movie Analysis from the Perspective of Social Networks;On the use of computable features for film classification
RoleNet: Movie Analysis from the Perspective of Social Networks;Toward automatic extraction of expressive elements from motion pictures: tempo
RoleNet: Movie Analysis from the Perspective of Social Networks;Systematic evaluation of logical story unit segmentation
RoleNet: Movie Analysis from the Perspective of Social Networks;Techniques for movie content analysis and skimming: tutorial and overview on video abstraction techniques
RoleNet: Movie Analysis from the Perspective of Social Networks;Video abstraction
RoleNet: Movie Analysis from the Perspective of Social Networks;Narrative abstraction model for story-oriented video
RoleNet: Movie Analysis from the Perspective of Social Networks;Automatically selecting shots for action movie trailers
RoleNet: Movie Analysis from the Perspective of Social Networks;Action movies segmentation and summarization based on tempo analysis
RoleNet: Movie Analysis from the Perspective of Social Networks;Affective understanding in film
RoleNet: Movie Analysis from the Perspective of Social Networks;Affective video content representation and modeling
Learning Relations among Movie Characters: A Social Network Perspective;Chaotic Invariants for Human Action Recognition
Learning Relations among Movie Characters: A Social Network Perspective;A Unified Framework for Gesture Recognition and Spatiotemporal Gesture Segmentation
Learning Relations among Movie Characters: A Social Network Perspective;On Film Character Retrieval in Feature-Length Films
Learning Relations among Movie Characters: A Social Network Perspective;Detecting Communities in Social Networks using Max-Min Modularity
Learning Relations among Movie Characters: A Social Network Perspective;Movie/Script: Alignment and Parsing of Video and Text Transcription
Learning Relations among Movie Characters: A Social Network Perspective;Graph based event detection from realistic videos using weak feature correspondence
Learning Relations among Movie Characters: A Social Network Perspective;Recognizing action at a distance
Learning Relations among Movie Characters: A Social Network Perspective;Action recognition by learning mid-level motion features
Learning Relations among Movie Characters: A Social Network Perspective;Centrality in social networks conceptual clarification
Learning Relations among Movie Characters: A Social Network Perspective;Automatically detecting the small group structure of a crowd
Learning Relations among Movie Characters: A Social Network Perspective;A Linear Programming Approach for Multiple Object Tracking
Learning Relations among Movie Characters: A Social Network Perspective;Space-time interest points
Learning Relations among Movie Characters: A Social Network Perspective;Weakly-Supervised Violence Detection in Movies with Audio and Video Based Co-training
MINING ACTOR CORRELATIONS WITH HIERARCHICAL CONCURRENCE PARSING;Cast indexing for videos by NCuts and page ranking
MINING ACTOR CORRELATIONS WITH HIERARCHICAL CONCURRENCE PARSING;Attention-driven action retrieval with DTW-based 3d descriptor matching
MINING ACTOR CORRELATIONS WITH HIERARCHICAL CONCURRENCE PARSING;Place retrieval with graph-based place-view model
Automatic Social Network Construction from Movies Using Film-Editing Cues;Face Description with Local Binary Patterns: Application to Face Recognition
Automatic Social Network Construction from Movies Using Film-Editing Cues;Algorithm 457: finding all cliques of an undirected graph
Automatic Social Network Construction from Movies Using Film-Editing Cues;Talking pictures: Temporal grouping and dialog-supervised person recognition
Automatic Social Network Construction from Movies Using Film-Editing Cues;Clustering by Passing Messages Between Data Points
Automatic Social Network Construction from Movies Using Film-Editing Cues;A Novel Role-Based Movie Scene Segmentation Method
Automatic Social Network Construction from Movies Using Film-Editing Cues;From photo networks to social networks, creation and use of a social network derived with photos
Character Relationship Analysis in Movies Using Face Tracks;RoleNet: Movie Analysis from the Perspective of Social Networks
Character Relationship Analysis in Movies Using Face Tracks;Character Identification in Feature-Length Films Using Global Face-Name Matching
Character Relationship Analysis in Movies Using Face Tracks;Visual memes in social media
Character Relationship Analysis in Movies Using Face Tracks;Semantic retrieval of video - review of research on video retrieval in meetings, movies and broadcast news, and sports
Character Relationship Analysis in Movies Using Face Tracks;Multimedia Semantics: Interactions Between Content and Community
Character Relationship Analysis in Movies Using Face Tracks;Hello! My name is... Buffy'' -- Automatic Naming of Characters in TV Video
Character Relationship Analysis in Movies Using Face Tracks;Cast2Face
Social Network Analysis of TV Drama Characters via Deep Concept Hierarchies;Recent Developments in Role Theory
Social Network Construction of the Role Relation in Unstructured Data Based on Multi-view;Family and Social Network
Social Network Construction of the Role Relation in Unstructured Data Based on Multi-view;Herb network construction and co-module analysis for uncovering the combination rule of traditional Chinese herbal formulae
Social Network Construction of the Role Relation in Unstructured Data Based on Multi-view;Ecological network analysis: network construction
SRE-Net Model for Automatic Social Relation Extraction from Video;Image Clustering under Domain Shift
Visual Transformation Aided Contrastive Learning for Video-based Kinship Verification;Constrained Local Neural Fields for Robust Facial Landmark Detection in the Wild
Visual Transformation Aided Contrastive Learning for Video-based Kinship Verification;OpenFace: An open source facial behavior analysis toolkit
Visual Transformation Aided Contrastive Learning for Video-based Kinship Verification;Notice of Removal Kinship verification from videos using spatio-temporal texture features and deep learning
Visual Transformation Aided Contrastive Learning for Video-based Kinship Verification;Face recognition with learning-based descriptor
Visual Transformation Aided Contrastive Learning for Video-based Kinship Verification;THE TIMING OF FACIAL MOTION IN POSED AND SPONTANEOUS SMILES
Visual Transformation Aided Contrastive Learning for Video-based Kinship Verification;Where are kin recognition signals in the human face?
Visual Transformation Aided Contrastive Learning for Video-based Kinship Verification;Who Do I Look Like? Determining Parent-Offspring Resemblance via Gated Autoencoders
Visual Transformation Aided Contrastive Learning for Video-based Kinship Verification;Like Father, Like Son: Facial Expression Dynamics for Kinship Verification
Visual Transformation Aided Contrastive Learning for Video-based Kinship Verification;Are You Really Smiling at Me? Spontaneous versus Posed Enjoyment Smiles
Inferring Social Relations from Visual Concepts;Histograms of oriented optical flow and Binet-Cauchy kernels on nonlinear dynamical systems for the recognition of human actions
Inferring Social Relations from Visual Concepts;Evolutionary spectral clustering by incorporating temporal smoothness
Inferring Social Relations from Visual Concepts;Location disclosure to social relations
Inferring Social Relations from Visual Concepts;Graph based event detection from realistic videos using weak feature correspondence
Social Relation Recognition from Videos via Multi-scale Spatial-Temporal Reasoning;Social LSTM: Human Trajectory Prediction in Crowded Spaces
Social Relation Recognition from Videos via Multi-scale Spatial-Temporal Reasoning;Social Scene Understanding: End-to-End Multi-person Action Localization and Collective Activity Recognition
TWO-STAGE MODEL FOR SOCIAL RELATIONSHIP UNDERSTANDING FROM VIDEOS;Deep Reasoning with Knowledge Graph for Social Relationship Understanding
Social Roles in Hierarchical Models for Human Activity Recognition;A chains model for localizing participants of group activities in videos
Social Roles in Hierarchical Models for Human Activity Recognition;Group Level Activity Recognition in Crowded Environments across Multiple Cameras
Joint Inference of Groups, Events and Human Roles in Aerial Videos;SLIC Superpixels Compared to State-of-the-Art Superpixel Methods
Beyond Frontal Faces: Improving Person Recognition Using Multiple Cues;Contextual Identity Recognition in Personal Photo Albums
Beyond Frontal Faces: Improving Person Recognition Using Multiple Cues;Poselets: Body part detectors trained using 3D human pose annotations
Beyond Frontal Faces: Improving Person Recognition Using Multiple Cues;Describing people: A poselet-based approach to attribute classification
Beyond Frontal Faces: Improving Person Recognition Using Multiple Cues;Semi-supervised Learning with Constraints for Person Identification in Multimedia Data
Beyond Frontal Faces: Improving Person Recognition Using Multiple Cues;Fusing Robust Face Region Descriptors via Multiple Metric Learning for Face Recognition in the Wild
Beyond Frontal Faces: Improving Person Recognition Using Multiple Cues;ImageNet: A large-scale hierarchical image database
Visual Social Relationship Recognition;Don't Just Assume; Look and Answer: Overcoming Priors for Visual Question Answering
Visual Social Relationship Recognition;Social LSTM: Human Trajectory Prediction in Crowded Spaces
Visual Social Relationship Recognition;SALSA: A Novel Dataset for Multimodal Group Behavior Analysis
Visual Social Relationship Recognition;From Ego to Nos-Vision: Detecting Social Relationships in First-Person Views
Visual Social Relationship Recognition;Discovering informative social subgraphs and predicting pairwise relationships from group photos
Joint user-interest and social-influence emotion prediction for individuals;Social-Sensed Multimedia Computing
Joint user-interest and social-influence emotion prediction for individuals;Twitter mood predicts the stock market
Link prediction in fuzzy social networks using distributed learning automata;Link prediction in complex networks: A survey
Retweeting Prediction Based on Social Hotspots and Dynamic Tensor Decomposition;Social media
Retweeting Prediction Based on Social Hotspots and Dynamic Tensor Decomposition;Campaign Optimization Through Behavioral Modeling and Mobile Network Analysis
Retweeting Prediction Based on Social Hotspots and Dynamic Tensor Decomposition;What is Twitter, a social network or a news media?
Detect potential relations by link prediction in multi-relational social networks;Online shopping intention in the context of data breach in online retail stores: An examination of older and younger adults
Detect potential relations by link prediction in multi-relational social networks;An empirical examination of the influence of biased personalized product recommendations on consumers' decision making outcomes
Detect potential relations by link prediction in multi-relational social networks;A link prediction approach for item recommendation with complex number
Detect potential relations by link prediction in multi-relational social networks;Whose online reviews to trust? Understanding reviewer trustworthiness and its impact on business
Detect potential relations by link prediction in multi-relational social networks;An improved robust heteroscedastic probabilistic neural network based trust prediction approach for cloud service selection
User Vitality Ranking and Prediction in Social Networking Services: A Dynamic Network Perspective;Everyone's an influencer
Influence Factorization for identifying authorities in Twitter;Real-time event detection for online behavioral analysis of big social data
Prediction of Personalized Rating by Combining Bandwagon Effect and Social Group Opinion: using Hadoop-Spark Framework;New Evidence About the Existence of a Bandwagon Effect in the Opinion Formation Process
Prediction of Personalized Rating by Combining Bandwagon Effect and Social Group Opinion: using Hadoop-Spark Framework;Social information filtering
Prediction of Personalized Rating by Combining Bandwagon Effect and Social Group Opinion: using Hadoop-Spark Framework;Item-based collaborative filtering recommendation algorithms
Prediction of Personalized Rating by Combining Bandwagon Effect and Social Group Opinion: using Hadoop-Spark Framework;Amazon.com recommendations: item-to-item collaborative filtering
A hybrid collaborative ﬁltering model for social inﬂuence prediction in event-based social networks;Event-based social networks
A hybrid collaborative ﬁltering model for social inﬂuence prediction in event-based social networks;A Study of Offline Events and Its Influence on Online Social Connections in Douban
A hybrid collaborative ﬁltering model for social inﬂuence prediction in event-based social networks;Evaluating geo-social influence in location-based social networks
A hybrid collaborative ﬁltering model for social inﬂuence prediction in event-based social networks;Exploring the Impact of Dynamic Mutual Influence on Social Event Participation
A hybrid collaborative ﬁltering model for social inﬂuence prediction in event-based social networks;User interest and social influence based emotion prediction for individuals
A hybrid collaborative ﬁltering model for social inﬂuence prediction in event-based social networks;Exploring social influence for recommendation
A hybrid collaborative ﬁltering model for social inﬂuence prediction in event-based social networks;Maximizing the spread of influence through a social network
A hybrid collaborative ﬁltering model for social inﬂuence prediction in event-based social networks;Influence and correlation in social networks
A hybrid collaborative ﬁltering model for social inﬂuence prediction in event-based social networks;Exploring Social Influence on Location-Based Social Networks
A hybrid collaborative ﬁltering model for social inﬂuence prediction in event-based social networks;TwitterRank
A hybrid collaborative ﬁltering model for social inﬂuence prediction in event-based social networks;Who should share what?
A hybrid collaborative ﬁltering model for social inﬂuence prediction in event-based social networks;Exploring complex networks
A hybrid collaborative ﬁltering model for social inﬂuence prediction in event-based social networks;Social influence analysis in large-scale networks
A hybrid collaborative ﬁltering model for social inﬂuence prediction in event-based social networks;Mining topic-level influence in heterogeneous networks
A hybrid collaborative ﬁltering model for social inﬂuence prediction in event-based social networks;Factorization meets the neighborhood
A hybrid collaborative ﬁltering model for social inﬂuence prediction in event-based social networks;Yes, there is a correlation
A hybrid collaborative ﬁltering model for social inﬂuence prediction in event-based social networks;Identifying the influential bloggers in a community
A hybrid collaborative ﬁltering model for social inﬂuence prediction in event-based social networks;Learning influence probabilities in social networks
A hybrid collaborative ﬁltering model for social inﬂuence prediction in event-based social networks;Predicting the topic influence trends in social media with multiple models
A hybrid collaborative ﬁltering model for social inﬂuence prediction in event-based social networks;Online Topic-based Social Influence Analysis for the Wimbledon Championships
A mathematical approach to gauging influence by identifying shifts in the emotions of social media users;Evaluation of computerized text analysis in an Internet breast cancer support group
A mathematical approach to gauging influence by identifying shifts in the emotions of social media users;Measuring influence on Twitter
A User Participation Behavior Prediction Model of Social Hotspots Based on Influence and Markov Random Field;Network analysis for active and passive propagation models
A User Participation Behavior Prediction Model of Social Hotspots Based on Influence and Markov Random Field;Social network user influence sense-making and dynamics prediction
A User Participation Behavior Prediction Model of Social Hotspots Based on Influence and Markov Random Field;Topic-aware social influence propagation models
A User Participation Behavior Prediction Model of Social Hotspots Based on Influence and Markov Random Field;Programmable CMOS/Memristor Threshold Logic
A User Participation Behavior Prediction Model of Social Hotspots Based on Influence and Markov Random Field;A predictive model for the temporal dynamics of information diffusion in online social networks
A User Participation Behavior Prediction Model of Social Hotspots Based on Influence and Markov Random Field;Locating multiple sources in social networks under the SIR model: A divide-and-conquer approach
Impact of context on social influence;Information and Influence Propagation in Social Networks
Impact of context on social influence;Influential Nodes in a Diffusion Model for Social Networks
Impact of context on social influence;Topic-Aware Social Influence Propagation Models
Impact of context on social influence;Maximizing the spread of influence through a social network
Impact of context on social influence;Selection and influence in cultural dynamics
Impact of context on social influence;Scalable Influence Maximization in Social Networks under the Linear Threshold Model
Influence in social networks A unified model？;Diffusion of Information in Social Networks: Is It All Local?
Influence in social networks A unified model？;Modeling information diffusion and community membership using stochastic optimization
Information diffusion prediction in mobile social networks with hydrodynamic model;5G Ultra-Dense Cellular Networks
Information diffusion prediction in mobile social networks with hydrodynamic model;5G wireless backhaul networks: challenges and research advances
Information diffusion prediction in mobile social networks with hydrodynamic model;Information diffusion in online social networks
Social restricted Boltzmann Machine Human behavior prediction in health social networks;Human agency in social cognitive theory.
Social restricted Boltzmann Machine Human behavior prediction in health social networks;Nicholas Christakis: The hidden influence of social networks
Social restricted Boltzmann Machine Human behavior prediction in health social networks;The Spread of Obesity in a Large Social Network over 32 Years
What Cuisine Do You Like- Improving Dining Preference Prediction through Physical Social Locations;On the quality of inferring interests from social neighbors
What Cuisine Do You Like- Improving Dining Preference Prediction through Physical Social Locations;Inferring preference correlations from social networks
Forecasting participants of information diffusion on social networks with its applications;Global Diffusion via Cascading Invitations
Forecasting participants of information diffusion on social networks with its applications;Supervised random walks
Forecasting participants of information diffusion on social networks with its applications;Predicting trending messages and diffusion participants in microblogging network
Forecasting participants of information diffusion on social networks with its applications;Learning social network embeddings for predicting information diffusion
Forecasting participants of information diffusion on social networks with its applications;Can cascades be predicted?
Forecasting participants of information diffusion on social networks with its applications;Predicting Item Adoption Using Social Correlation
Forecasting participants of information diffusion on social networks with its applications;Fast discovery of connection subgraphs
Learning to Predict Reciprocity and Triadic Closure in Social Networks;Preferential behavior in online groups
Learning to Predict Reciprocity and Triadic Closure in Social Networks;Supervised random walks
Retweeting Behavior Prediction Based on One-Class Collaborative Filtering in Social Networks;User^|^apos;s Action and Decision Making of Retweet Messages towards Reducing Misinformation Spread during Disaster
Retweeting Behavior Prediction Based on One-Class Collaborative Filtering in Social Networks;Message Clustering based Matrix Factorization Model for Retweeting Behavior Prediction
Retweeting Behavior Prediction Based on One-Class Collaborative Filtering in Social Networks;Who will retweet me?
Learning information diffusion model in a social network for predicting influence of nodes;Blogosphere
Learning information diffusion model in a social network for predicting influence of nodes;Error and attack tolerance of complex networks
Learning information diffusion model in a social network for predicting influence of nodes;The anatomy of a large-scale hypertextual Web search engine
Learning information diffusion model in a social network for predicting influence of nodes;Social Networks Applied
Learning information diffusion model in a social network for predicting influence of nodes;Critical phenomena in complex networks
A Combined Collaborative Filtering Model for Social Inﬂuence Prediction in Event-Based Social Networks;Identifying the influential bloggers in a community
A Combined Collaborative Filtering Model for Social Inﬂuence Prediction in Event-Based Social Networks;Influence and correlation in social networks
Joint user-interest and social-influence emotion prediction for individuals;Social-Sensed Multimedia Computing
Joint user-interest and social-influence emotion prediction for individuals;Twitter mood predicts the stock market
Personalized Tag Prediction via Social Influence in Social Networks;Clustering the tagged web
Personalized Tag Prediction via Social Influence in Social Networks;Statistical entity-topic models
Personalized Tag Prediction via Social Influence in Social Networks;The topic-perspective model for social tagging systems
Personalized Tag Prediction via Social Influence in Social Networks;Birds of a Feather: Homophily in Social Networks
Social Influence (Deep) Learning for Human Behavior Prediction;The Structure and Function of Complex Networks
Social Influence (Deep) Learning for Human Behavior Prediction;Statistical mechanics of complex networks
Social Network User Inﬂuence Dynamics Prediction;How to search a social network
Trafﬁc Clustering and Online Trafﬁc Prediction in Vehicle Networks: A Social Inﬂuence Perspective;Dynamic prediction of traffic volume through Kalman filtering theory
Who Should Share What? Item-level Social Inﬂuence Prediction for Users and Posts Ranking;Identifying the influential bloggers in a community
Who Should Share What? Item-level Social Inﬂuence Prediction for Users and Posts Ranking;Influence and correlation in social networks
Who Should Share What? Item-level Social Inﬂuence Prediction for Users and Posts Ranking;Social influence and the diffusion of user-created content
Who Should Share What? Item-level Social Inﬂuence Prediction for Users and Posts Ranking;AdHeat
An intuitionistic fuzzy method for social network prediction problems;Deterministic scale-free networks
Utility-Based Link Recommendation for Online Social Networks;Actions speak as loud as words
Dynamic graph convolutional networks;The Graph Neural Network Model
Dynamic graph convolutional networks;Recursive neural networks learn to localize faces
Dynamic graph convolutional networks;Image annotation via graph learning
Learning to Represent the Evolution of Dynamic Graphs with Recurrent Models;Distributed Representations of Subgraphs
Triadic Closure Pattern Analysis and Prediction in Social Networks;Group formation in large social networks
A weakly-supervised factorization method with dynamic graph embedding;Semi-Supervised Learning
Community Preserving Network Embedding;The political blogosphere and the 2004 U.S. election
DEEPEYE: Link Prediction in Dynamic Networks Based on Non-negative Matrix Factorization;An efficient algorithm for link prediction in temporal uncertain social networks
DEEPEYE: Link Prediction in Dynamic Networks Based on Non-negative Matrix Factorization;Analysis-preserving protection of user privacy against information leakage of social-network Likes
DEEPEYE: Link Prediction in Dynamic Networks Based on Non-negative Matrix Factorization;Verifying social network models of Wikipedia knowledge community
DEEPEYE: Link Prediction in Dynamic Networks Based on Non-negative Matrix Factorization;Super mediator – A new centrality measure of node importance for information diffusion over social network
DEEPEYE: Link Prediction in Dynamic Networks Based on Non-negative Matrix Factorization;A multi-step outlier-based anomaly detection approach to network-wide traffic
DEEPEYE: Link Prediction in Dynamic Networks Based on Non-negative Matrix Factorization;Predicting missing links via correlation between nodes
DEEPEYE: Link Prediction in Dynamic Networks Based on Non-negative Matrix Factorization;Link prediction in social networks: the state-of-the-art
DEEPEYE: Link Prediction in Dynamic Networks Based on Non-negative Matrix Factorization;Improved personalized recommendation based on a similarity network
DEEPEYE: Link Prediction in Dynamic Networks Based on Non-negative Matrix Factorization;Age-series based link prediction in evolving disease networks
High-Order Proximity Preserved Embedding for Dynamic Networks;Structural Deep Network Embedding
High-Order Proximity Preserved Embedding for Dynamic Networks;Incorporate Group Information to Enhance Network Embedding
Learning Multi-granularity Dynamic Network Representations for Social Recommendation;Social collaborative filtering for cold-start recommendations
Learning Multi-granularity Dynamic Network Representations for Social Recommendation;HyPER
Learning Multi-granularity Dynamic Network Representations for Social Recommendation;Deep Neural Networks for YouTube Recommendations
Learning Multi-granularity Dynamic Network Representations for Social Recommendation;LINE
Learning Multi-granularity Dynamic Network Representations for Social Recommendation;DeepWalk
Learning Multi-granularity Dynamic Network Representations for Social Recommendation;Learning Community Embedding with Community Detection and Node Embedding on Graphs
Learning Multi-granularity Dynamic Network Representations for Social Recommendation;Attributed Network Embedding for Learning in a Dynamic Environment
Scalable Temporal Latent Space Inference for Link Prediction in Dynamic Social Networks;A Survey of Link Prediction in Social Networks
Scalable Temporal Latent Space Inference for Link Prediction in Dynamic Social Networks;The link prediction problem for social networks
Scalable Temporal Latent Space Inference for Link Prediction in Dynamic Social Networks;Birds of a Feather: Homophily in Social Networks
TIMERS: Error-Bounded SVD Restart on Dynamic Networks;Emergence of Scaling in Random Networks
DHNE: Network Representation Learning Method for Dynamic Heterogeneous Networks;HetPathMine: A Novel Transductive Classification Algorithm on Heterogeneous Information Networks
dynnode2vec: Scalable Dynamic Network Embedding;GraRep
dynnode2vec: Scalable Dynamic Network Embedding;LINE
dynnode2vec: Scalable Dynamic Network Embedding;node2vec
dynnode2vec: Scalable Dynamic Network Embedding;DeepWalk
A Deep Learning Approach to Link Prediction in Dynamic Networks;Friends and neighbors on the Web
A Deep Learning Approach to Link Prediction in Dynamic Networks;On Dynamic Link Inference in Heterogeneous Networks
A Deep Learning Approach to Link Prediction in Dynamic Networks;Statistical Inference for Probabilistic Functions of Finite State Markov Chains
dyngraph2vec: Capturing Network Dynamics using Dynamic Graph Representation Learning;Overview of the 2003 KDD Cup
Streaming Link Prediction on Dynamic Attributed Networks;Evolutionary Network Analysis
Streaming Link Prediction on Dynamic Attributed Networks;On Classification of Graph Streams
Streaming Link Prediction on Dynamic Attributed Networks;Outlier detection in graph streams
Streaming Link Prediction on Dynamic Attributed Networks;On Clustering Graph Streams
Restricted Boltzmann Machine-Based Approaches for Link Prediction in Dynamic Networks;The link-prediction problem for social networks
Restricted Boltzmann Machine-Based Approaches for Link Prediction in Dynamic Networks;Link prediction in social networks: the state-of-the-art
Restricted Boltzmann Machine-Based Approaches for Link Prediction in Dynamic Networks;Clustering and preferential attachment in growing networks
Restricted Boltzmann Machine-Based Approaches for Link Prediction in Dynamic Networks;A new status index derived from sociometric analysis
Restricted Boltzmann Machine-Based Approaches for Link Prediction in Dynamic Networks;Evolution of the social network of scientific collaborations
Restricted Boltzmann Machine-Based Approaches for Link Prediction in Dynamic Networks;When will it happen?
Restricted Boltzmann Machine-Based Approaches for Link Prediction in Dynamic Networks;Supervised Link Prediction Using Multiple Sources
Restricted Boltzmann Machine-Based Approaches for Link Prediction in Dynamic Networks;Who Will Follow Whom? Exploiting Semantics for Link Prediction in Attention-Information Networks
Restricted Boltzmann Machine-Based Approaches for Link Prediction in Dynamic Networks;Deep Learning Approaches for Link Prediction in Social Network Services
Restricted Boltzmann Machine-Based Approaches for Link Prediction in Dynamic Networks;A Deep Learning Approach to Link Prediction in Dynamic Networks
Restricted Boltzmann Machine-Based Approaches for Link Prediction in Dynamic Networks;Hierarchical structure and the prediction of missing links in networks
Restricted Boltzmann Machine-Based Approaches for Link Prediction in Dynamic Networks;Missing and spurious interactions and the reconstruction of complex networks
Restricted Boltzmann Machine-Based Approaches for Link Prediction in Dynamic Networks;Local Probabilistic Models for Link Prediction
Restricted Boltzmann Machine-Based Approaches for Link Prediction in Dynamic Networks;An efficient algorithm for link prediction in temporal uncertain social networks
Restricted Boltzmann Machine-Based Approaches for Link Prediction in Dynamic Networks;An evolutionary algorithm approach to link prediction in dynamic social networks
Knowledge Graph Embedding: A Survey of Approaches and Applications;Freebase
YAGO: A core of semantic knowledge;Snowball
Toward an architecture for never-ending language learning;An Integrated Theory of the Mind.
Question answering with subgraph embeddings;Semantic Parsing via Paraphrasing
Translating embeddings for modeling multi-relational data;Freebase
Translating embeddings for modeling multi-relational data;A semantic matching energy function for learning with multi-relational data
Knowledge graph embedding by translating on hyperplanes;Gene Ontology: tool for the unification of biology
Knowledge graph embedding by translating on hyperplanes;Freebase
A latent factor model for highly multi-relational data;Optimization with Sparsity-Inducing Penalties
A latent factor model for highly multi-relational data;A semantic matching energy function for learning with multi-relational data
Reasoning with neural tensor networks for knowledge base completion;WordNet
